letter,line,decision,confidence,cue,ratio,prev_len,page_measure,prev_line,context
1,21,break,high,short_line+column,0.31,22,72,"Hochwohlgeborner Herr,",Hochzuehrender Herr Krieges und Forst Rath!
1,22,break,high,short_line,0.6,43,72,Hochzuehrender Herr Krieges und Forst Rath!,Vor wenig Stunden erhielt ich von einen bewährten Freund die Nach
1,26,break,high,short_line,0.18,13,72,werden dürfe.,"Mit den 13 Januar habe ich keine Nachricht von Ihnen, Ich lebe desfals"
1,37,break,high,short_line,0.53,38,72,kan mich jezt mit allem Rechte helfen.,Ich bitte weiter nichts / das beherzigen Sie sehr wohl / als daß des F
1,55,break,high,short_line,0.4,29,72,Kleinen des Cosmars gerettet.,Hiernächst bitte ich die Trąbcziner und Kaemener Sache jezt mehrzunehm
1,63,break,high,short_line+column,0.65,47,72,Hochachtung versichern als Ew. Hochwohlgebornen,Schlawenschitz den 29ten Januar
1,64,break,high,short_line+column,0.43,31,72,Schlawenschitz den 29ten Januar,1815
1a,68,break,high,short_line+column,0.6,23,38,Durchlauchtigster Fürst,Gnädigster Fürst und Herr!
1a,69,break,high,short_line,0.68,26,38,Gnädigster Fürst und Herr!,Ewr Hochfürstliche Durchlaucht höchst gnädigste Verzeihung erstehe ich
1a,81,run,review,short_line,0.47,18,38,nicht mehr hängern,Was die Trąbcziner Güter in Koniner
1a,86,run,review,short_line,0.31,12,38,Weisung - ob,"Ob ich jezt die Urkunden, und andere"
1a,88,break,high,short_line,0.68,26,38,Documente einreichen darf.,Ew. Hochfürstl. Durchlaucht
1a,89,break,high,short_line+column,0.7,27,38,Ew. Hochfürstl. Durchlaucht,unterthäniger diener
1a,90,break,high,short_line+column,0.52,20,38,unterthäniger diener,Wien d. 12. in Febr.
1a,91,break,high,short_line,0.52,20,38,Wien d. 12. in Febr.,1815
2,95,break,high,short_line+column,0.34,24,70,Durch lauchtigster Fürst,Gnädigſter Fürſt und Herr!
2,96,break,high,short_line,0.37,26,70,Gnädigſter Fürſt und Herr!,Ewr Durchlaucht Schreiben vom 28 ten & M erhielt ich vor einer halben 
2,103,break,high,short_line,0.48,34,70,und wichtige Dinge berichtet habe.,Ich habe Eine Durchlaucht gemeldet daß ich an Gm. Schöler auf eins der
2,114,break,high,short_line,0.61,43,70,durch Geld und Schürzen alles gemacht wird.,"Ich habe Eine durch weiter gemeldet, daß nun auch Sachsen wenigstens d"
2,127,run,review,short_line,0.17,11,65,und Hungern,wieder - Haben Sie den gar kein Erbarmen mit mir - vollen Sie
2,138,run,review,short_line,0.2,13,65,Schreitwillen,"Nun erst der Fürst, Schon hat Jordan mir spöltisch um die 100 Thl gema"
2,142,run,review,short_line,0.55,36,65,Jagt also auf Ihren heutigen Brief —,Die Sachen liegen alle beym Geh. Staats Rath Stägemann hatte dieser ni
2,156,break,high,short_line,0.35,26,75,er sey Vater von 7 Kinder.,Wir haben alles abgeschrieben ihm die Taxen mitgesandt und ihm weill A
2,160,break,high,short_line,0.44,33,75,damit man sich praepariren könne.,wegen Ende des Congressis ist noch nichts zu höhren. Und die Ewr Durch
2,165,run,review,short_line,0.2,15,75,erklären wird -,"V der Congress zu Ende, so geht der Kayser auch dahin und beide kommen"
2,167,run,review,short_line,0.15,11,75,nach Revhir,Übrigens spricht man hier fortwährend von fürchterlichen neuen Kriegen
2,172,run,review,short_line,0.6,45,75,mit deßen Gesinnungen übereinstimmend wären -,Wir leben in einer schrecklichen Periode. — Gott lende nur alles zum B
2,193,break,high,short_line+column,0.69,44,64,Mann muß sich also mit ihrem Waffen versehen,ihr H. Gemahlen
2,194,break,high,short_line+column,0.24,15,64,ihr H. Gemahlen,und ihm den E. jeden Ausweg versperren.
2,195,break,high,short_line,0.61,39,64,und ihm den E. jeden Ausweg versperren.,Nur um Gottes willen senden Sie auch so schenk als möglich die 200 Dec
2,198,break,high,short_line,0.47,30,64,mit gehöriger Kraft zu würken.,Ehrfurchts voll verharre
2,199,break,high,short_line+column,0.38,24,64,Ehrfurchts voll verharre,Ewr Durchlaucht
2,200,break,high,short_line+column,0.24,15,64,Ewr Durchlaucht,N S die Nachgebrachte Correspondence
2,201,break,high,short_line+column,0.57,36,64,N S die Nachgebrachte Correspondence,mit den H. H. M. hat mit meiner Eingabe
2,202,break,high,short_line+column,0.61,39,64,mit den H. H. M. hat mit meiner Eingabe,einen sehr guten Effect gemacht
2,203,break,high,short_line+column,0.49,31,64,einen sehr guten Effect gemacht,Wun den 9ten Febr. 1815
2,204,break,high,short_line+column,0.36,23,64,Wun den 9ten Febr. 1815,tren gehorſamſter Diener
2,205,break,high,short_line+column,0.38,24,64,tren gehorſamſter Diener,v Triebenfeld
3,222,run,review,short_line,0.65,49,76,hernehmen soll um den Lehn Kutschen zu bezahlen —,Kurz erhalte ich nicht balde Hülfe und schaffen Sie nicht sehr sehr sc
