key,pad,page,transcribed,proposed,decision,why
a3d0f6ec,oe1bu9454-001a,1,vogt,wage,n,"""ich es wage ... zu legen"" is the expected idiom; Kurrent w/v and g/g confusion is common."
08aa5e12,oe1bu9454-001a,1,beiden,blinden,n,"""dieses alten blinden Mannes"" would agree and fits ""er leidet unaussprechlich""."
9140767e,oe1bu9454-001a,1,der Vorsitzung,den Vorschuß,@78 Vorsitzung -> Vorschuß,"""Vorschuß"" appears earlier in the same sense (advance of 112000 Rthl)."
9038dd6b,oe1bu9454-001a,1,hängern,hungern,n,"""darf nicht mehr hungern"" (need no longer starve) suits the register of distress."
8d2b7b8e,oe1bu9454-072b,1,Bržechffa,Brzechsta,y,Same person named three times on this page; the form with 'ffa' is a Kurrent long-s/f confusion.
0d5fc680,oe1bu9454-072b,1,redreisen,redressiren,n,'to redress / set right'.
a698e7a7,oe1bu9454-072c,1,Krieges und Frühsttag,Kriegs- und Forstrath,@5804 Frühsttag -> Forstrath,"The recipient is von Triebenfeld, whose title is Kriegs- und Forstrath; ""Frühsttag"" is an implausible word and ""Forstrath"" fits the Kurrent letter-shapes and th"
96a41c8f,oe1bu9454-072c,1,zu ergehen belieben,zu ersehen belieben,n,"""ersehen"" (to gather, to perceive from) is the standard idiom in this formula; ""g"" and ""s"" are readily confused in Kurrent."
3f3c0208,oe1bu9454-072e,1,[k?]ony,kochany,n,"The salutation of the letter is 'Kochany Bracie'; the closing may repeat it, but the transcription supports only a single syllable ending in -ony, which does no"
f5371d0a,oe1bu9454-074b,1,im Ober Fürster,ein Ober-Förster,@6161 im -> ein,"Kurrent m/n confusion and Fürster/Förster; the sentence requires a nominative subject for ""angestellt wird""."
f1506bed,oe1bu9454-074b,1,Tauf,Tausch,n,"""Tausch der Güter"" (exchange of the estates) fits the business of these letters; ""Tauf"" (baptism) does not."
2d58891e,oe1bu9454-118b,1,Weinachten,Weihnachten,n,Orthographic variant; retained as transcribed.
f593c4db,oe1bu9454-118c,1,den 29ten Marz 180,den 29ten März 1804,n,"The year is cut off after ""180""; the letter is dated 1804 in the edition's header. Left as written."
8e4fc035,oe1bu9454-265b,1,der verstorbenen König verliche mir,der verstorbene König verlieh mir,n,"Weak-adjective and verb-form corruption; sense is ""the late King conferred upon me""."
e010e616,oe1bu9454-265b,1,mit der herzigsten Bette,mit der herzlichsten Bitte,@18875 herzigsten -> herzlichsten,"Orthographic corruption of ""herzlichsten Bitte"" (most heartfelt entreaty)."
e6ccad0b,oe1bu9454-265b,1,Ihr Vorwort angedeihen zu laßen,Ihr Vorwort angedeihen zu laßen (Vorwort = Fürwort),n,"""Vorwort"" here in the older sense of intercession/good word; possibly written for ""Fürwort""."
212ce39d,oe1bu9454-269a,1,Acten Stadt,Actenstück,@19119 Stadt -> Stück,Later in the same letter the same enclosure is called 'die Acten Stück'; 'Stadt' for 'Stück' is a plausible transcription slip.
96244e04,oe1bu9454-269a,1,Chirann,Tyranney,n,'die unverkennbarsten Tyranneyen gegen den armen guten Fürsten' fits the syntax and the polemic.
8de5a9dd,oe1bu9454-269a,1,Er führen,Erhören,n,'Erhören Ewr Hochfürstliche Durchlaucht diese unterthänigste Bitte' is the expected petitionary formula.
d588c751,oe1bu9454-269a,1,147/,147000,n,The sum of 112000 and 35000 named just before is 147000; the slash may abbreviate the thousands. Figure left exactly as transcribed.
86f0bec7,oe1bu9454-072d,1,Brzechsta,(unresolved),n,The signature does not correspond to a name otherwise attested in this correspondence; possibly a corrupted surname. Left exactly as transcribed.
764bc324,oe1bu9454-074a,1,obgedachte 8000 Rthl,obgedachte 80000 Rthl,n,The bequest is twice named as 80000 Rthl elsewhere.
b2831cc9,oe1bu9454-074d,1,Grüneberg,Grünberg,n,Grünberg in Schlesien is the known place; but the transcription is left standing.
a1f6b6be,oe1bu9454-179a,1,Wrąbczyn,Trąbczyn,n,"W/T confusion in Kurrent; Trąbczyn is the lordship named throughout, though a distinct village Wrąbczyn does exist."
4352406a,oe1bu9454-265a,1,der alten Schuld von 35000 Rthl,statt der alten Schuld von 35000 Rthl,n,The contrast of 35000 against 461000 requires 'statt' or 'für'.
0490fc8d,oe1bu9454-265a,1,Krieges Rath von Triebenfeld,Kriegs- und Forstrath von Triebenfeld,n,His full title elsewhere; here abbreviated or misread.
92e37cff,oe1bu9454-072a,2,Äuter,Güter,y,"""über die Güter disponiren"" (dispose of the estates) is the expected phrase; G/Ä confusion in Kurrent"
